No,氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望,プロフィール
314,西銘 恒三郎君,にしめ こうさぶろう,自民,沖縄4,7,1954/8/7,こじか,こじか,猿,猿,ゾウ,"西銘 恒三郎（にしめ こうさぶろう）
 小選挙区（沖縄県第四区）選出、自由民主党・無所属の会
 昭和二十九年八月沖縄県那覇市に生まれる、上智大学経済学部卒業、沖縄振興開発金融公庫、米国TULANE大学院留学、沖縄県知事西銘順治秘書、沖縄県議四期、県連会長○平成十五年衆議院議員初当選○国土審議会特別委員、国交大臣政務官、総務・経産副大臣、第一次・第二次岸田内閣復興大臣・沖北担当大臣○自民党財政金融証券・環境・農林水産・商工・中小企業・安保関係団体副委員長、運輸交通団体委員長、外交・農林部会長、国対副委員長、国交部会長代理、総務部会長、地域再生戦略・沖縄振興・中小企業小規模事業者政策・地方行政・総合エネルギー戦略調査会副会長、党副幹事長、組織運動本部副本部長○衆議院国家基本・国交・拉致特・議運・予算・沖北特委員会理事、国交・安保委員長○当選七回（43 44 46 47 48 49 50）
 （令和7年3月現在）"
315,丹羽 秀樹君,にわ ひでき,自民,愛知6,7,1972/12/20,子守熊,ペガサス,子守熊,くろひょう,猿,"丹羽 秀樹（にわ ひでき）
 小選挙区（愛知県第六区）選出、自由民主党・無所属の会
 昭和四十七年十二月愛知県春日井市に生まれる、玉川大学文学部卒業○証券会社、衆議院議員秘書○文部科学大臣政務官、文部科学副大臣となる○自由民主党愛知県第六選挙区支部長、国会対策副委員長、政務調査会文部科学部会長、青年局長代理、ネットメディア局長代理○衆議院議院運営委員会理事、厚生労働委員長○当選七回（44 45補 46 47 48 49 50）
 （令和7年3月現在）"
316,額賀 福志郎君,ぬかが ふくしろう,無,茨城2,14,1944/1/11,くろひょう,こじか,ひつじ,ライオン,狼,"衆議院議長
 額賀 福志郎（ぬかが ふくしろう）
 小選挙区（茨城県第二区）選出、無所属
 昭和十九年一月十一日茨城県行方市小高出身。早稲田大学政治経済学部卒業○産経新聞記者、茨城県議会議員○通産政務次官、内閣官房副長官、防衛庁長官、経済財政担当大臣、防衛庁長官、財務大臣○自民党初代労政局長、広報本部長、幹事長代理、政務調査会長、安全保障調査会長、領土に関する特命委員長、税制調査会小委員長、東日本大震災復興加速化本部長、総合エネルギー戦略調査会長、税制調査会顧問、財政健全化推進本部長○衆議院大蔵委員長、議運委筆頭理事、商工委筆頭理事、政治改革特別委理事、逓信委理事、国家安全保障に関する特別委員長、情報監視審査会長○永年在職議員として衆議院より表彰される○衆議院議長（第79代・80代）○当選十四回（37 38 39 40 41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
317,沼崎 満子君,ぬまざき みつこ,公明,（比）南関東,1,1973/2/24,狼,ペガサス,こじか,ゾウ,チーター,"沼崎 満子（ぬまざき みつこ）
 比例代表（南関東）選出、公明党
 昭和四十八年二月東京都杉並区に生まれる、筑波大学医学専門学群卒業、筑波大学大学院人間総合科学研究科修了○医師、麻酔科医、医学博士、JA神奈川厚生連伊勢原協同病院手術部長○当選一回（50）
 （令和7年3月現在）"
318,根本 拓君,ねもと たく,自民,（比）東北,1,1986/9/11,ゾウ,虎,猿,ひつじ,子守熊,"根本 拓（ねもと たく）
 比例代表（東北）選出、自由民主党・無所属の会
 昭和六十一年九月十一日生まれ、福島県郡山で育ち、東京大学法科大学院、ハーバード大学法科大学院卒業○弁護士、西村あさひ法律事務所、米国コーエングループ、OECD（経済協力開発機構）勤務○当選一回（50）
 （令和7年3月現在）"
319,根本 幸典君,ねもと ゆきのり,自民,愛知15,5,1965/2/21,猿,虎,ライオン,子守熊,こじか,"根本 幸典（ねもと ゆきのり）
 小選挙区（愛知県第十五区）選出、自由民主党・無所属の会
 昭和四十年二月二十一日北海道砂川市に生まれる、一橋大学経済学部卒業○豊橋市議会議員（二期）、（株）リクルート社員○国土交通大臣政務官兼内閣府大臣政務官○自由民主党愛知県第十五選挙区支部支部長、総務部会長○総務委員、文部科学委員、東日本大震災復興・防災・災害対策に関する特別委員○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
320,野田 聖子君,のだ せいこ,自民,岐阜1,11,1960/9/3,ペガサス,ゾウ,チーター,ゾウ,たぬき,"野田 聖子（のだ せいこ）
 小選挙区（岐阜県第一区）選出、自由民主党・無所属の会
 昭和三十五年九月北九州市に生まれる。上智大学外国語学部卒業○（株）帝国ホテル社員、岐阜県議会議員○平成八年郵政政務次官○平成十年郵政大臣○平成二十年内閣府特命担当大臣（科学技術政策・食品安全）・消費者行政推進担当大臣・宇宙開発担当大臣○平成二十九年総務大臣・女性活躍担当大臣・内閣府特命担当大臣（男女共同参画・マイナンバー制度）○令和三年内閣府特命担当大臣（地方創生・少子化対策・男女共同参画）・女性活躍担当大臣・こども政策担当大臣・孤独・孤立対策担当大臣○平成三十年衆議院予算委員長○平成二十四年自民党総務会長○令和二年自民党幹事長代行○令和四年自民党情報通信戦略調査会長○当選十一回（40 41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
321,野田 佳彦君,のだ よしひこ,立憲,千葉14,10,1957/5/20,ペガサス,ひつじ,チーター,ペガサス,ライオン,"野田 佳彦（のだ よしひこ）
 小選挙区（千葉県第十四区）選出、立憲民主党・無所属
 昭和三十二年五月二十日千葉県船橋市に生まれる、早稲田大学政経学部政治学科卒業○松下政経塾（第一期生）卒塾後、千葉県議会議員を二期務め、財務大臣、内閣総理大臣となる○当選十回（40 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
322,野中 厚君,のなか あつし,自民,（比）北関東,5,1976/11/17,虎,子守熊,こじか,くろひょう,たぬき,"野中 厚（のなか あつし）
 比例代表（北関東）選出、自由民主党・無所属の会
 文部科学副大臣
 昭和五十一年埼玉県加須市大越に生まれる。慶應義塾大学商学部卒業、埼玉県議会議員○文部科学副大臣、農林水産副大臣、農林水産大臣政務官○衆議院農林水産委員長○自由民主党農林部会長代理、青年局次長、副幹事長、国会対策委員会副委員長、国土・建設関係団体委員長○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
323,野間 健君,のま たけし,立憲,鹿児島3,4,1958/10/8,ゾウ,虎,ひつじ,ひつじ,子守熊,"野間 健（のま たけし）
 小選挙区（鹿児島県第三区）選出、立憲民主党・無所属
 昭和三十三年十月八日生まれ。鹿児島県日置市伊集院町出身。慶應義塾大学法学部卒業、兼松（株）社員、松下政経塾十二期生、国会議員公設秘書、松下忠洋国務大臣秘書官。国民新党政調会長、衆議院環境委員、同経済産業委員、同国土交通委員会理事、同厚生労働委員、同農林水産委員会理事を務める○当選四回（46 47 49 50）
 （令和7年3月現在）"
324,萩生田 光一君,はぎうだ こういち,自民,東京24,7,1963/8/31,子守熊,虎,チーター,子守熊,ひつじ,"萩生田 光一（はぎうだ こういち）
 小選挙区（東京都第二十四区）選出、自由民主党・無所属の会
 昭和三十八年八月東京都八王子市に生まれる、明治大学商学部卒業○八王子市議会議員、東京都議会議員、文部科学大臣政務官、内閣官房副長官、内閣人事局長となる。また自由民主党青年局長、選挙対策委員会筆頭副委員長、総裁特別補佐、幹事長代行、政務調査会長、文部科学大臣、経済産業大臣となる○当選七回（43 44 46 47 48 49 50）
 （令和7年3月現在）"
325,萩原 佳君,はぎはら けい,維新,大阪9,1,1977/7/27,こじか,ペガサス,チーター,くろひょう,ゾウ,"萩原 佳（はぎはら けい）
 小選挙区（大阪府第九区）選出、日本維新の会
 昭和五十二年七月大阪府に生まれる、信州大学経済学部卒業○公認会計士、税理士、元茨木市議会議員○衆議院財務金融委員、政治改革特別委員○当選一回（50）
 （令和7年3月現在）"
326,橋本 慧悟君,はしもと けいご,立憲,（比）近畿,1,1988/12/3,ライオン,ひつじ,ひつじ,ペガサス,虎,"橋本 慧悟（はしもと けいご）
 比例代表（近畿）選出、立憲民主党・無所属
 昭和六十三年十二月兵庫県小野市に生まれる、県立小野高校卒業、慶應義塾大学商学部卒業。小野市役所総合政策部、総務部財政課、明石市民の会幹事長、市民の会顧問、兵庫県議会議員（一期）、立憲民主党兵庫県第九区総支部長、党政務調査会長補佐。衆議院内閣委員、地域活性化・こども政策・デジタル社会形成に関する特別委員○当選一回（50）
 （令和7年3月現在）"
327,橋本 幹彦君,はしもと みきひこ,国民,埼玉13,1,1995/12/27,虎,ひつじ,ライオン,ペガサス,ひつじ,"橋本 幹彦（はしもと みきひこ）
 小選挙区（埼玉県第十三区）選出、国民民主党・無所属クラブ
 平成七年十二月千葉県八千代市に生まれる、防衛大学校公共政策学科卒業○航空自衛官（三等空尉、航空機整備）、経営コンサルティング会社役員○衆議院安全保障委員会理事、予算委員○当選一回（50）
 （令和7年3月現在）"
